# Number of fleets 
3 
# Catch unit for each fleet (0-Number(Million); 1-Biomass(1000mt)) 
0 0 0
0 0 0
# Start size bin of selectivity for each fleet 
1 1 1
1 1 1
# End size bin of selectivity for each fleet 
25 25 25
25 25 25
# Likelihood function of length composition data for each fleet (1-multinomial; 2-robust normal) 
1 1 1
1 1 1
# Likelihood function of total catch for each fleet 
4 4 4
4 4 4
# Likelihood function of CPUE for each fleet 
4 4 4
4 4 4
# Lambda value of composition component in objective function for each fleet 
1 1 1
1 1 1
# Lambda value of total catch in objective function for each fleet 
1 1 1
1 1 1
# Lambda value of CPUE in objective function for each fleet 
0 0 0
0 0 0
# Number of data points for catch data 
180 
# #Year, timestep, Fleet, Total Catch 
1984	1	1	298.2958	0.15	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1985	1	1	355.5666	0.15	-1	1	-1	9.28	1.5611	0.498	0.6767	0.961	0.4132	0.6767	1.8881	2.5207	3.2235	6.7129	15.6829	23.4937	37.8371	50.7023	55.697	52.6216	52.2246	30.6212	11.4248	4.5156	1.3008	0.2771	0.0359	0	0
1986	1	1	369.3173	0.15	-1	1	-1	9.75	0.1237	0.1263	1.8046	3.0502	4.1614	2.0757	3.0501	4.3708	6.0622	8.9791	10.6628	5.9338	6.0343	11.8736	42.376	87.7188	94.3276	41.8632	23.314	9.244	1.9042	0.2056	0.0553	0	0
1987	1	1	424.4052	0.15	-1	1	-1	9.54	0.2203	0.8581	2.0484	3.6738	1.788	2.3834	3.5362	10.2204	8.6165	9.7107	8.5311	14.6395	19.7112	18.7116	19.0381	40.9991	91.2326	105.9046	45.1027	13.1101	4.0502	0.3151	0	0.0033	0
1988	1	1	220.2974	0.15	-1	1	-1	21.33	0.969	0.2057	0.4667	0.5055	0.5225	0.8157	1.9639	3.7478	2.7479	1.6683	3.2971	5.9779	6.444	9.0168	16.1632	27.3177	36.8049	49.152	36.1262	14.2617	1.9754	0.1475	0	0	0
1989	1	1	295.7303	0.15	-1	1	-1	17.92	0.0743	0.0938	0.4561	0.2498	0.0955	0.5098	1.9217	9.9477	16.8329	15.3935	15.2439	13.2732	12.7057	15.3313	15.815	25.8591	48.4387	51.2334	33.3236	13.9724	3.9305	0.8493	0.1791	0	0
1990	1	1	437.1749	0.15	-1	1	-1	11.21	0.0885	0.1158	0.1028	0.139	0.4794	1.6685	5.4518	15.5677	22.8969	36.1813	26.202	27.8472	41.3536	46.3929	48.7226	51.0965	49.7957	33.5906	18.7359	8.3495	1.7535	0.5452	0.098	0	0
1991	1	1	334.776	0.15	-1	1	-1	32.11	1.1701	1.2656	1.9279	4.4715	4.0099	1.6997	2.5269	8.4537	14.0837	16.2754	14.8352	12.7309	19.9437	14.3098	22.3054	55.4618	73.1743	42.2469	14.4867	6.9843	1.7328	0.5987	0.0125	0.0685	0
1992	1	1	267.7432	0.15	-1	1	-1	30.25	2.3092	1.4448	0.6927	0.6859	0.5999	1.2204	3.9341	7.845	11.5271	7.0884	5.002	2.9533	4.4341	5.5165	8.9366	21.5823	49.1088	83.0943	38.827	9.4078	1.3523	0.1603	0.0204	0	0
1993	1	1	186.6902	0.15	-1	1	-1	42.85	1.1905	1.7554	2.4337	2.3458	0.6844	0.5452	1.6019	4.9728	9.1413	9.1325	7.3088	7.9774	12.3074	18.0826	17.2561	20.2325	20.9764	21.9013	17.7956	7.3764	1.3814	0.2888	0.002	0	0
1994	1	1	263.224	0.15	-1	1	-1	31.34	1.5191	1.264	0.6597	0.8517	1.2033	5.8003	13.665	14.6084	14.701	9.0771	5.6823	7.8661	14.6602	21.4345	33.982	43.266	34.8365	17.1164	11.063	6.8843	2.7305	0.3528	0	0	0
